Front,Back,Left,Right,Command
29.26,266.46,7.99,21.17,right
20.65,25.38,7.89,20.89,right
21.23,24.9,7.99,20.91,right
26.81,23.61,8.04,20.74,right
27.18,25.13,8.38,21.3,right
26.47,126.68,8.45,21.23,right
24.02,618.17,12.09,21.34,right
23.94,178.42,12.41,22.25,right
23.51,142.49,13.48,22.34,right
23.66,97.29,14.88,22.39,right
23.15,121.13,32.9,22.9,front
23.12,85.2,16.75,24.73,right
22.92,639.66,17.03,51.71,right
22.87,22.1,16.9,51.32,right
22.88,829.35,23.22,49.79,front
23.26,248.73,24.16,50.22,front
23.6,440.45,22.75,48.72,front
23.97,61.64,22.02,48.69,front
24.12,187.66,21.83,48.79,front
24.26,127.65,21.66,47.8,front
24.45,131.87,20.91,47.5,front
24.33,464.88,20.74,46.6,front
23.87,70.47,20.16,45.95,front
24.48,84.8,19.96,47.58,right
23.82,427.47,19.45,47.38,right
24.65,48.62,19.26,46.43,right
90.2,601.38,18.55,46,right
50.01,41.46,18.96,46.31,right
48.57,41.16,18.55,108.58,right
48.23,43.01,18.68,108.51,right
47.58,41.96,18.8,107.51,right
46.22,41.68,18.87,108.9,right
45.95,41.26,19.38,109.21,right
45.39,43.72,19.82,110.36,right
45.73,76.86,20.94,205.87,front
46.07,573.89,23.8,205.46,front
50.81,17.77,24.51,204.15,front
108.21,16.56,302.41,204.17,front
106.13,15.18,45.76,203.59,front
106.2,51.32,44.9,203.76,front
106.76,31.55,44.44,912.92,front
105.93,105.52,42.16,912.7,front
104.09,22.3,41.8,168.42,front
103.6,24.38,40.44,908.41,front
101.17,35.67,39.75,198.46,front
101.69,37.18,39.53,226,front
100.52,38.01,37.45,223.45,front
101.34,39.9,37.96,228.33,front
98.31,40.05,36.47,226.95,front
97.12,40.77,36.07,221.53,front
97.12,40.39,35.87,137.65,front
97.31,41.82,34.58,905.3,front
94.42,42.82,33.22,249.75,front
93.59,43.83,33.08,253.95,front
93.13,44.69,33.61,226.83,front
93.45,45.17,32.69,229.23,front
92.31,46.36,32.54,230.86,front
91.27,46.78,33.22,254.93,front
88.86,47.58,33.01,227.9,front
88.15,49.1,31.94,225.96,front
87.87,49.37,85.58,176.24,front
88.03,50.01,32.73,240.38,front
86.63,49.9,31.98,191.42,front
85.8,51.17,30.48,191.95,front
86.36,51.02,84.64,136.56,front
85.17,47.94,84.52,240.16,front
84.95,51.73,84.71,139.15,front
85.14,52.72,82.28,145.33,front
84.73,52.85,82.43,138.33,front
83.15,53.67,82.79,279.41,front
83.16,54.83,80.94,137.05,front
82.38,54.18,82.09,78.93,front
83.08,55.32,80.16,195.87,front
81.53,55.37,81.52,136.63,front
81.86,55.68,80.8,195.91,front
80.65,56.22,79.2,137.68,front
81.06,57.04,80.75,106.71,front
81.07,57.15,78.45,71.71,front
79.93,58.6,78.85,65.02,front
79.59,57.68,78.97,69.16,front
78.88,58.45,79.03,61.39,front
78.95,57.61,79.46,61.23,front
78.25,58.87,76.94,71.6,front
77.95,59.52,77.66,67.17,front
78.06,60.32,77.72,51.31,front
78.45,60.59,76.6,77.45,front
76.59,60.64,76.99,80.6,front
77.28,60.66,75.43,70.7,front
76.79,61.57,75.65,80.5,front
75.94,61.73,73.71,76.41,front
74.75,62.65,74.8,61.64,front
74.17,47.4,73,69,front
73.58,63.1,74.02,67.42,front
74.44,57.73,73.25,55.3,front
72.66,64.46,71.54,34.39,front
72.03,66.3,71.93,66.64,front
70.99,60.4,71.18,36.89,front
70.04,66.52,70.3,59.45,front
69.63,67.25,68.49,63.68,front
69.46,68.71,68.15,47.89,front
68.29,68.75,66.59,50.44,front
67.66,70.21,67.13,51.26,front
67.64,71.06,67.18,54.33,front
66.25,70.58,64.92,41.79,front
66.28,50.83,64.99,43.25,front
65.94,73.2,64.63,30.33,front
64.86,47.24,63.09,31.96,front
64.89,74.07,61.61,39.9,front
64.57,75.6,61.74,80.14,front
62.73,70.99,60.23,41.36,front
62.14,76.74,61.78,60.25,front
61.74,77.84,59.52,71.59,front
60.66,77.93,58.79,60.61,front
59.99,79.44,58.38,64.52,front
59.57,80.22,58.45,72.13,front
58.94,81.31,58.07,61.8,front
57.31,81.06,56.17,64.67,front
56.32,82.5,55.1,49.95,front
55.86,84.13,54.28,48.45,front
55.25,83.74,53.24,49.44,front
54.79,84.58,53.57,57.89,front
54.93,84.52,52.11,56.81,front
53.79,85.43,51.24,59.87,front
53.36,76.09,51.02,40.26,front
52.02,87.28,50.29,57.15,front
51.17,88.45,48.76,35.65,front
50.93,88.91,48.03,44.69,front
50.08,89.71,48.82,49.5,front
49.86,90.52,48.47,72.64,front
48.33,92.45,47.31,45.19,front
49.16,92.89,46.19,41.65,front
48.45,93.65,45.05,47.89,front
47.01,93.28,43.62,48.52,front
46,95.17,43.61,58.97,front
45.66,95.34,42.19,54.33,front
44.97,96.08,42.72,58.4,front
44.29,66.03,41.94,52.8,front
44.69,97.95,40.77,48.03,front
45.15,97.48,39.61,45.61,front
83.88,100.44,38.81,45.51,front
80.87,54.69,38.57,45.12,front
79.31,101.59,37.3,58.04,front
43.27,102.37,36.65,48.47,front
65.57,102.94,35.55,52.24,front
64.6,103.7,34.51,39.47,front
67.81,90.44,34.19,69.72,front
63.85,105.66,33.86,45.97,front
64.07,59.04,32.69,48.4,front
60.54,106.93,32.76,40.58,front
50.95,107.98,32.1,43.61,front
55.35,65.94,30.74,41.91,front
50.08,103.72,30.4,49.1,front
49.47,110.45,29.53,26.79,front
47.62,111.21,26.23,53.65,front
46.67,111.33,27.05,58.23,front
44.93,54.09,26.83,54.79,front
46.04,112.95,26.76,42.72,front
16.76,96.13,25.84,41.55,left
14.94,116.42,24.67,64.38,left
14.94,92.63,25.4,52.45,left
17.1,49.76,23.26,40.77,left
17.56,116.57,18.97,42.89,right
18.45,118.8,18.53,42.76,right
18.89,118.35,17.44,47.82,right
21.03,118.47,17.39,42.5,right
22.1,117.88,17.83,38.93,right
25.52,117.4,18.62,37.89,right
22.05,112.8,20.04,38.18,front
22.17,116.94,22.81,37.09,front
22.02,96.29,20.54,35.73,front
22.05,109.94,19.13,37.38,right
31.2,84.64,19.38,36.07,right
21.61,108.05,19.26,36.94,right
